GSE,title,oragnism,dataset_type,platform,number_of_samples,ftp,sra_run_selector,bioproject
GSE157423,Ribosome profiling analysis of Neuro2a cells with Ebp1 knockdown,Mus musculus,,GPL21103,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157423/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA661275,PRJNA661275
GSE135860,Multi-omics analysis to study hepatitis B virus-host interaction,Homo sapiens,,GPL16791,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135860/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA560349,PRJNA560349
GSE120159,Targeting the eIF4A dependent translation of KRAS and other oncoproteins in pancreatic cancer,Homo sapiens,,GPL11154,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120159/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA491747,PRJNA491747
GSE167223,Long-RNA sequencing and ribosome profiling of inflamed beta-cells reveal an extensive translatome landscape,Homo sapiens,,['GPL24106'],12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167223/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA703954,PRJNA703954
GSE109253,Ribosome profiling on heat shocked wild type and Mettl14 -/- mES cells,Mus musculus,,GPL17021,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109253/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA430238,PRJNA430238
GSE155036,"MazF toxin causes alterations in Staphylococcus aureus transcriptome, translatome and proteome that underlie bacterial dormancy",Staphylococcus aureus,,['GPL26273'],12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155036/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA648316,PRJNA648316
GSE156749,Upregulation of 5’-terminal oligopyrimidine mRNA translation upon loss of the tumor suppressor ARF,Mus musculus,,GPL21493,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156749/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA658965,PRJNA658965
GSE145795,Alterations in the transcriptome and translatome profiles of Arabidopsis pollen germinated under heat stress,Arabidopsis thaliana,,GPL21785,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145795/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA608263,PRJNA608263
GSE154488,Global Translational Landscape of the Candida albicans Morphological Transition,Candida albicans,,GPL27827,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154488/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA646470,PRJNA646470
GSE144841,4EHP and GIGYF1/2 induce translation-coupled messenger RNA decay,Homo sapiens,,GPL21290,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144841/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA605114,PRJNA605114
GSE153945,Persistent activation of mRNA translation by transient Hsp90 inhibition,Saccharomyces cerevisiae,,GPL17342,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153945/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA644594,PRJNA644594
GSE140366,Robust partitioning of microRNA targets from downstream regulatory changes [Ribo-seq],Homo sapiens,,GPL18573,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140366/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA589466,PRJNA589466
GSE151687,Authentication of Hippuristanol-eIF4A1 Target Engagement Facilitates Identification of eIF4A1 Helicase Dependencies within 5’ Leader Regions,Homo sapiens,,GPL20301,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151687/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA636959,PRJNA636959
GSE141842,Change in translation efficiency in mouse eyes at P0.5 by RNG140 knockout,Mus musculus,,GPL21103,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE141nnn/GSE141842/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA594945,PRJNA594945
GSE118394,In vivo RNAi mediated knockdown of translation initiation factor eIF3m is associated with alterations in ribosome biogenesis (mRNA-seq),Mus musculus,,['GPL19057'],12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118394/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA485439,PRJNA485439
GSE118393,In vivo RNAi mediated knockdown of translation initiation factor eIF3m is associated with alterations in ribosome biogenesis (rRNA-seq),Mus musculus,,GPL16417,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118393/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA485438,PRJNA485438
GSE153969,Control of Translation during the Unfolded Protein Response in Maize seedlings: Life without PERKs.,Zea mays,,GPL24631,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153969/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA644623,PRJNA644623
GSE148536,Ythdf m6A readers compensate each other in a context dependent manner [Ribo-seq],Mus musculus,,GPL21626,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148536/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA624906,PRJNA624906
GSE130155,Effect of adat2 silencing in Neurospora crassa on translation kinetics and transcriptome,Neurospora crassa,,['GPL16164'],12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130155/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA534111,PRJNA534111
GSE143329,FMRP Control of Ribosome Translocation Promotes Chromatin Modifications and Alternative Splicing of Neuronal Genes Linked to Autism (H3K36me3 ChIP-seq),Mus musculus,,GPL9185,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143329/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA600026,PRJNA600026
GSE128538,Ribosome profiling in RPEI cells upon CDK1-inhibition,Homo sapiens,,GPL18573,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128538/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA528026,PRJNA528026
GSE138533,Analysis of PDCD4 knockdown effects by high throughput sequencing of a human epithelial cell line,Homo sapiens,,GPL15456,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138533/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA576260,PRJNA576260
GSE93052,The human CCHC-type Zinc Finger nucleic acid binding protein binds G-rich elements in target mRNA coding sequences initiation promotes translation (Ribosome profiling).,Homo sapiens,,GPL16791,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93052/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA359690,PRJNA359690
GSE139880,Recruitment of mRNAs to P granules by gelation with intrinsically-disordered proteins (RNAseq and ribosome profiling),Caenorhabditis elegans,,GPL18245,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139880/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA587444,PRJNA587444
GSE78807,Genome-wide profiling of mTOR-dependent translation in Oikopleura dioica,Oikopleura dioica,,GPL21546,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78807/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA314019,PRJNA314019
GSE104503,Ribosome-profiling experiments for “Chronic repression by MAF1 supports futile RNA cycling as a mechanism for obesity resistance”,Mus musculus,,GPL13112,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104503/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA412979,PRJNA412979
GSE126385,Divergent effects of eRF3 and Upf1 on the expression of uORF carrying mRNAs and ribosome protein genes,Homo sapiens,,GPL18573,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126385/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA521751,PRJNA521751
GSE128344,"A large panel of isogenic APP and PSEN1 mutant human iPSC neurons reveals shared endosomal abnormalities mediated by APP b-CTFs, not Ab [ribosome profiling]",Homo sapiens,,GPL16791,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128344/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA527204,PRJNA527204
GSE129194,m6A in mRNA coding regions promotes translation via the RNA helicase-containing YTHDC2,Mus musculus; Homo sapiens,,['GPL17021'],12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129194/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA530508,PRJNA530508
GSE133125,Ribosome profiling of Cryptococcus neoformans H99,Cryptococcus neoformans; Cryptococcus neoformans var. neoformans,,['GPL26812'],12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133125/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA550038,PRJNA550038
GSE133111,Ribosome profiling of A549 cells depleted of RPLP1 and RPLP2 and infected with DENV.,Homo sapiens,,GPL11154,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133111/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA549955,PRJNA549955
GSE125086,Ribosome queuing enables non-AUG translation to be resistant to multiple protein synthesis inhibitors,Homo sapiens,,GPL16791,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125086/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA515197,PRJNA515197
GSE126234,Suppressor mutations in ribosomal proteins and FliY restore Bacillus subtilis swarming motility in the absence of EF-P [Ribosome Profiling],Bacillus subtilis,,GPL24109,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126234/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA521364,PRJNA521364
GSE112185,RPL12/uL11 phosphorylation regulates translation during mitosis [Ribosome profiling],Mus musculus,,GPL17021,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112185/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA445183,PRJNA445183
GSE106529,Translatome analysis of the ribosomal protein L10 R98S mutation reveals altered serine metabolism in acute lymphoblastic leukemia [Ribo-seq],Mus musculus,,GPL17021,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106529/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA417116,PRJNA417116
GSE125114,DDX3 depletion represses translation of mRNAs with complex 5′ UTRs,Homo sapiens,,"['GPL16791', 'GPL18573']",12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125114/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA515289,PRJNA515289
GSE127713,Cellular gene expression during Hepatitis C Virus replication revealed by Ribosome profiling,Homo sapiens,,GPL20301,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE127nnn/GSE127713/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA525090,PRJNA525090
GSE121952,Active ribosome profiling in SETD2 or METTL14 knockdown HepG2 cells,Homo sapiens,,GPL20301,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121952/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA501872,PRJNA501872
GSE112146,Ribo-tag translatomic profiling of Drosophila oenocyte reveals down-regulation of peroxisome and mitochondria biogenesis under aging and oxidative stress,Drosophila melanogaster,,GPL23323,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112146/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA439433,PRJNA439433
GSE120097,Dazl regulates germ cell survival through a network of polA-proximal mRNA interactions [GC1-spg cells (parental line) Ribosome Profiling and RNA-seq],Mus musculus,,GPL17021,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120097/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA491649,PRJNA491649
GSE112766,DDX6 decouples translational repression from RNA degradation of miRNA targets [Ribosome Profiling],Mus musculus,,GPL17021,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112766/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA448921,PRJNA448921
GSE75004,Translation elongation mediated quality control of integral membrane protein synthesis,Saccharomyces cerevisiae,,GPL9377,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75004/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA302167,PRJNA302167
GSE111891,Ribosome profiling experiment in control or Elp3 depleted B16 melanoma cells,Mus musculus,,GPL19057,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111891/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA438489,PRJNA438489
GSE114636,Comprehensive profiling of translation initiation in influenza-virus infected cells,Homo sapiens,,GPL16791,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114636/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA472015,PRJNA472015
GSE95415,Global mRNA polarization regulates translation efficiency in the intestinal epithelium [Ribo-Seq],Mus musculus,,['GPL19057'],12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95415/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA377088,PRJNA377088
GSE79622,Ubiquitination of Stalled Ribosome Triggers Ribosome-associated Quality Control [SET1],Saccharomyces cerevisiae,,GPL21656,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79622/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA316463,PRJNA316463
GSE59818,Knockdown and overexpression of SLC3A2 in MCF10A cells,Homo sapiens,,GPL11154,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59818/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA256318,PRJNA256318
GSE69047,Time-Resolved Proteomics Extends Ribosome Profiling-Based Measurements of Protein Synthesis Dynamics,Homo sapiens,,GPL16791,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69047/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA284399,PRJNA284399
GSE79512,Ribosome profiling-guided depletion of an mRNA improves CHO cell growth and recombinant product titers,Cricetulus griseus,,GPL20904,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79512/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA316065,PRJNA316065
GSE81332,Ribosome profiling in Arabidopsis root and shoot,Arabidopsis thaliana,,GPL17639,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81332/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA321304,PRJNA321304
GSE60930,Genome-wide translational analysis of RAW264 macrophages by ribosome profiling,Mus musculus,,GPL16331,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60930/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA259844,PRJNA259844
GSE83730,mTAIL-seq reveals dynamic poly(A) tail regulation in oocyte-to-embryo development [RNA-seq Drosophila oocyte stages],Drosophila melanogaster,,GPL17275,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83730/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA326885,PRJNA326885
GSE72066,Ribosome Profiling of mouse skin squamous tumours,Mus musculus,,GPL9250,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72066/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA292862,PRJNA292862
GSE78163,Ligation-Free Ribosome Profiling Reveals Cell Type-Specific Regulation of Protein Synthesis in the Brain,Mus musculus,,['GPL13112'],12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78163/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA312799,PRJNA312799
GSE70802,Profiles of ribosome-associated mRNAs regulated by expression of wild-type (WT) or R534H variant of DDX3 with or without Sodium Arsenite treatment [Ribo-Seq],Homo sapiens,,GPL16791,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70802/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA289569,PRJNA289569
GSE68200,Ribosome Profiling Reveals Translational Control During the Caulobacter crescentus cell cycle,Caulobacter vibrioides NA1000,,GPL18276,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68200/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA282016,PRJNA282016
GSE73369,Role of the Small Subunit Processome in the Maintenance of Pluripotent Stem Cells,Mus musculus,,GPL13112,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73369/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA296812,PRJNA296812
GSE67902,Regulation of protein translation during mitosis,Homo sapiens,,GPL11154,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67902/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA281177,PRJNA281177
GSE71716,Dietary selenium levels affect selenoprotein expression and support the interferon-γ and IL-6 immune response pathways in mice [microarray],Mus musculus,,GPL1261,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71716/,,
GSE60040,Wide-spread disruption of transcription termination in HSV-1 infection: Next-generation sequencing of translational activityd by ribosome profiling,Homo sapiens,,GPL11154,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60040/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA257365,PRJNA257365
GSE49197,Ribosome profiling reveals pervasive and regulated stop codon readthrough  in Drosophila melanogaster,Drosophila melanogaster,,GPL13304,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49197/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA213294,PRJNA213294
GSE52119,Evolution of Translation Regulation in budding Yeast,Saccharomyces paradoxus; Saccharomyces cerevisiae x Saccharomyces paradoxus; Saccharomyces cerevisiae,,"['GPL17601', 'GPL17602']",12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52119/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA213844,PRJNA213844
GSE48785,Global response to chemotherapy-induced apoptosis,Homo sapiens,,GPL11154,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48785/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA211752,PRJNA211752
GSE46038,The effects of dietary selenium on selenocysteine incorporation and selenoprotein expression,Mus musculus,,GPL13112,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46038/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA197001,PRJNA197001
GSE29744,Translational control in early adipogenesis,Mus musculus,,GPL7202,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29744/,,
GSE35469,The translational landscape of mTOR signaling steers cancer initiation and metastasis,Homo sapiens,,GPL9115,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35469/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA152347,PRJNA152347
GSE21992,"Analysis of HeLa cells after transfection with miR-1 or miR-155, by ribosome profiling and mRNA-Seq",Homo sapiens,,GPL9115,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21992/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA129385,PRJNA129385
GSE168476,A Rapid Translational Immune Response Program in CD8 Memory T Lymphocytes,Mus musculus,,GPL13112,11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE168nnn/GSE168476/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA707537,PRJNA707537
GSE150375,Translation initiation site profiling reveals widespread synthesis of non-AUG-initiated protein isoforms in yeast,Saccharomyces cerevisiae,,GPL17342,11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150375/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA631930,PRJNA631930
GSE126383,Modeling ribosome dwell times and relationship with tRNA loading and codon usage in mammals (Ribosome Profiling),Mus musculus,,GPL17021,11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126383/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA521742,PRJNA521742
GSE123627,Bias-minimized quantification of microRNA reveals widespread alternative processing and 3′ end modification,Homo sapiens,,['GPL15520'],11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123627/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA509424,PRJNA509424
GSE122071,Cap-specific terminal N6-methylation of RNA by an RNA polymerase II-associated methyltransferase.,Homo sapiens,,GPL20301,11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122071/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA503400,PRJNA503400
GSE104033,The dual methyltransferase METTL13 targets N-terminus and Lys55 of eEF1A and regulates codon-specific translation rates,Homo sapiens,,GPL15456,11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104033/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA408071,PRJNA408071
GSE106386,Amyotrophic Lateral Sclerosis associated FUS mutation shortens mitochondria and induces neurotoxicity,Mus musculus,,['GPL11002'],11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106386/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA416661,PRJNA416661
GSE97140,Methylation of human eukaryotic elongation factor alpha (eEF1A) by a member of a novel protein lysine methyltransferase family modulates mRNA translation,Homo sapiens,,GPL15456,11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97140/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA380795,PRJNA380795
GSE63570,High-throughput sequencing of pluripotent cells,Homo sapiens,,GPL11154,11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63570/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA268222,PRJNA268222
GSE51052,An Integrated Approach Reveals Regulatory Controls on Bacterial Translation Elongation,Escherichia coli str. K-12 substr. MG1655; Escherichia coli BW25113,,['GPL15206'],11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51052/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA219750,PRJNA219750
GSE202881,Pyruvate Kinase M (PKM) binds ribosomes in a poly-ADP ribosylation dependent manner to induce translational stalling,Homo sapiens,,GPL24676,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202881/,,
GSE174754,Phospho-RNA sequencing with CircAID-p-seq,Mus musculus; Homo sapiens,,4 related Platforms,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174754/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA731473,PRJNA731473
GSE152558,Ribosome profiling analysis of aging human skeletal muscle,Homo sapiens,,['GPL18573'],10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152558/,,
GSE146073,Transcriptome of ZFP36L1-sufficient and ZFP36L1-deficient Fo B cells ,Mus musculus,,GPL17021,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146073/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA609143,PRJNA609143
GSE150034,Genome-wide effects of the antimicrobial peptide apidaecin on translation termination,Escherichia coli,,GPL21222,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150034/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA630973,PRJNA630973
GSE143263,Thousands of novel unannotated proteins expand the MHC I immunopeptidome in cancer,Homo sapiens,,GPL18573,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143263/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA599422,PRJNA599422
GSE134152,RNAseq and ribosome profiling of yeast cells grown under glucose restriction condition.,Saccharomyces cerevisiae,,GPL13821,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134152/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA554100,PRJNA554100
GSE145723,Genome-wide survey of ribosome collision,Homo sapiens,,GPL20301,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145723/,,
GSE144065,The zinc finger domains in U2AF26 and U2AF35 have diverse functionalities including a role in controlling translation,Mus musculus,,['GPL17021'],10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144065/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA602676,PRJNA602676
GSE128322,Ribosome profiling of HSV-1 infected cells,Human alphaherpesvirus 1 strain 17; Homo sapiens,,['GPL26303'],10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128322/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA527127,PRJNA527127
GSE136664,YTHDF1 Amplifies Wnt/β-Catenin Signaling to Promote Intestinal Stemness,Homo sapiens,,GPL20795,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136664/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA563001,PRJNA563001
GSE116082,The androgen receptor regulates a druggable translational regulon in advanced prostate cancer [ribosome profiling],Mus musculus,,GPL13112,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116082/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA476979,PRJNA476979
GSE119104,A systematically-revised ribosome profiling protocol for bacteria reveals translational pauses at single-codon resolution,Escherichia coli str. K-12 substr. MG1655,,GPL18956,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119104/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA488109,PRJNA488109
GSE119615,Translation of upstream open reading frames in a model of neuronal differentiation,Homo sapiens,,GPL11154,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119615/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA489713,PRJNA489713
GSE97613,Genome-scale analysis of syngas fermenting acetogenic bacteria reveals the translational regulation for its autotrophic growth,Eubacterium limosum,,['GPL23275'],10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97613/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA382424,PRJNA382424
GSE99828,Exhaustive profiling in Arabidopsis reveals abundant polysome-associated 24-nt small RNAs including hitherto undescribed AGO5-associated pseudogene-derived siRNAs (psiRNAs),Arabidopsis thaliana,,GPL17639,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99828/,,
