Accession	Organism	Samples	Type	Platform	Title	Year	Summary	Link	Paper_title	Journal	Impact factor 2018	doi or pubmed id	All references	Type of molecule	BioProject link (NCBI)	BioProject link (EBI)	SRA
GSE71895	Homo sapiens	8	Non-coding RNA profiling by high throughput sequencing	GPL11154	AKT Inhibition Promotes Non-autonomous Cancer Cell Survival [Microvesicles small RNA-Seq]	2015-08-10	Small-molecule inhibitors of AKT signaling are being in evaluated in patients with various cancer types, but have so far proven therapeutically disappointing for reasons that remain unclear. Here, we treat cancer cells with sub-therapeutic doses of Akti-1/2, an allosteric small molecule AKT inhibitor, in order to experimentally model pharmacologic inhibition of AKT signaling in vitro. We then apply a combined RNA, protein, and metabolite profiling approach to develop an integrated, multi-scale, molecular snapshot of this “AKTlow” cancer cell state. We find that AKT-inhibited cancer cells suppress thousands of mRNA transcripts, and proteins related to the cell cycle, ribosome, and protein translation. Surprisingly, however, these AKT-inhibited cells simultaneously up-regulate a host of other proteins and metabolites post-transcriptionally, reflecting activation of their endo-vesiculo-membrane system, secretion of inflammatory proteins, and elaboration of extracellular microvesicles. Importantly, these microvesicles enable rapidly proliferating cancer cells of various types to better withstand different stress conditions, including serum deprivation, hypoxia, or cytotoxic chemotherapy in vitro and xenografting in vivo. These findings suggest a model whereby cancer cells experiencing a partial inhibition of AKT signaling may actually promote the survival of neighbors through non-cell autonomous communication.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71895	AKT Inhibition Promotes Nonautonomous Cancer Cell Survival.	Molecular cancer therapeutics	4.856	https://doi.org/10.1158/1535-7163.MCT-15-0414	{Molecular cancer therapeutics (4.856): 10.1158/1535-7163.MCT-15-0414}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA292422	https://www.ebi.ac.uk/ena/browser/view/PRJNA292422	https://www.ncbi.nlm.nih.gov/sra?term=SRP062228
GSE128538	Homo sapiens	12	Expression profiling by high throughput sequencing	GPL18573	Ribosome profiling in RPEI cells upon CDK1-inhibition	2019-03-19	Protein synthesis is the second most energy-intensive process in the cell. Therefore, cells tightly control mRNA translation rates in response to external stimuli (growth factors, differentiation signals) and the internal resources available (nutrients, energy). We set out to unravel new molecular mechanisms of global translation control required for cellular homeostasis. Using a siRNA screening approach to knock-down all human kinases and phosphatases, we analyzed the impact of protein phosphorylation on translation regulation in unstressed, proliferating cells. A visual screen was conducted to assess stress granule formation (as a consequence of translational shutdown) in the absence of 711 kinases and 256 phosphatases. Several candidates identified in the screen are linked, either directly or indirectly, to cell cycle regulation. We further identified a cyclin-dependent kinase (CDK), whose genetic downregulation or chemical inhibition results in global translation suppression. In order to assess CDK downstream signaling, we performed phosphoproteomics analysis and found the phosphorylation status of many ribosomal proteins to be altered upon CDK inhibition. Indeed, we could show that S6-kinase 1 partially contributes to CDK-dependent translational control. Ribosome profiling further revealed that the translation of 5’TOP mRNAs, including many mRNAs encoding for ribosomal proteins, is especially sensitive to CDK inhibition. While the translation regulatory function of this kinase is independent of the cell cycle phase, its activity is ideally suited to couple the overall proliferation rate of cells to the global rate of protein synthesis. Our results identify a pathway that enables cells to directly adapt protein homeostasis to proliferation and growth signals.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128538	CDK1 couples proliferation with protein synthesis.	The Journal of cell biology	8.891	https://doi.org/10.1083/jcb.201906147	{The Journal of cell biology (8.891): 10.1083/jcb.201906147}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA528026	https://www.ebi.ac.uk/ena/browser/view/PRJNA528026	https://www.ncbi.nlm.nih.gov/sra?term=SRP188848
GSE100026	Homo sapiens	15	Expression profiling by high throughput sequencing	GPL18573	Transcriptome characterization of chronic myeloid leukemia by RNA sequencing	2017-06-14	To determine differentially expressed and spliced transcripts in chronic myeloid leukemia, a high throughput RNA-sequencing (RNA-seq) analysis of ten CML specimens and five normal peripheral blood samples was performed. Thousands of differentially expressed genes between CML and normal control were detected, including genes involved in ribosome and signaling pathway. Splicing alterations analysis performed by an independently developed algorithm reveals that intron retention was the most frequent alternative splicing (AS) events in all the samples. Functional groups of differentially spliced genes most highly correlated with disease phase was (blast crisis relative to chronic phase) included spliceosome and nucleotide excision repair (NER), suggesting that genes involved in these processes may have a major contribution to CML progression by affecting splicing factors and DNA damage and repair as a consequence of mis-splicing.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100026	Transcriptome profiling reveals the high incidence of hnRNPA1 exon 8 inclusion in chronic myeloid leukemia.	Journal of advanced research	5.045	https://doi.org/10.1016/j.jare.2020.04.016	{Journal of advanced research (5.045): 10.1016/j.jare.2020.04.016}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390519	https://www.ebi.ac.uk/ena/browser/view/PRJNA390519	https://www.ncbi.nlm.nih.gov/sra?term=SRP109177
GSE52461	Homo sapiens	16	Expression profiling by array	GPL17943	Profiling transcriptional and translational response to anoxia or hypoxia of genes in DNA damage response and repair pathways in human fibroblast and prostate cancer cells using NanoString nCounter.	2013-11-18	Identification of genes in DNA damage response and repair pathways differentially transcribed or translated under anoxia or hypoxia in GM05757 normal human fibroblast cells and DU145 human prostate cancer cells.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52461	None	None	None	None	None	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA229050	https://www.ebi.ac.uk/ena/browser/view/PRJNA229050	None
GSE133925	Homo sapiens	8	Expression profiling by high throughput sequencing; Other	GPL24676	CircMYBL2 Regulates FLT3-ITD FLT3AML Translation in AML	2019-07-08	CircMYBL2 is more highly expressed in AML patients with FLT3-ITD mutations than in those without the FLT3-ITD mutation. We found that circMYBL2 knockdown specifically inhibits proliferation and promotes the differentiation of FLT3-ITD AML cells in vitro and in vivo. We used the ribosome profiling and RNA-seq libraries sequenced with Illumina HiSeq 2500 to identify the mRNA that circMYBL2 targeted. Interestingly, we found that circMYBL2 significantly influences the protein level of mutant FLT3 kinase, which contributes to the activation of FLT3-ITD-dependent signaling pathways. Mechanistically, circMYBL2 enhanced the translational efficiency of FLT3 kinase by increasing the binding of PTBP1 to FLT3 mRNA. Moreover, circMYBL2 knockdown impaired the cytoactivity of inhibitor-resistant FLT3-ITD-positive cells, with a significant decrease in FLT3 kinase expression, followed by the inactivation of its downstream pathways. In summary, we are the first to reveal a circRNA that specifically influences FLT3-ITD AML and regulates FLT3 kinase levels through translational regulation, suggesting that circMYBL2 may be a potential therapeutic target for FLT3-ITD AML.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133925	circMYBL2, a circRNA from MYBL2, regulates FLT3 translation by recruiting PTBP1 to promote FLT3-ITD AML progression.	Blood	16.562	https://doi.org/10.1182/blood.2019000802	{Blood (16.562): 10.1182/blood.2019000802}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA553142	https://www.ebi.ac.uk/ena/browser/view/PRJNA553142	https://www.ncbi.nlm.nih.gov/sra?term=SRP213599
GSE123627	Homo sapiens	11	Non-coding RNA profiling by high throughput sequencing	GPL15520; GPL16791	Bias-minimized quantification of microRNA reveals widespread alternative processing and 3′ end modification	2018-12-11	MicroRNAs (miRNAs) modulate diverse biological and pathological processes via post-transcriptional gene silencing. High-throughput small RNA sequencing (sRNA-seq) has been widely adopted to investigate the functions and regulatory mechanisms of miRNAs. However, accurate quantification of miRNAs has been limited owing to the severe ligation bias in conventional sRNA-seq methods. Here we quantify miRNAs and their variants (known as isomiRs) by an improved sRNA-seq protocol, termed AQ-seq (accurate quantification by sequencing), that utilizes adapters with terminal degenerate sequences and a high concentration of polyethylene glycol (PEG), which minimize the ligation bias during library preparation. Measurement using AQ-seq allows us to correct the previously misannotated 5′ end usage and strand preference in public databases. Importantly, the analysis of 5′ terminal heterogeneity reveals widespread alternative processing events which have been underestimated. We also identify highly uridylated miRNAs originating from the 3p strands, indicating regulations mediated by terminal uridylyl transferases at the pre-miRNA stage. Taken together, our study reveals the complexity of the miRNA isoform landscape, allowing us to refine miRNA annotation and to advance our understanding of miRNA regulation. Furthermore, AQ-seq can be adopted to improve other ligation-based sequencing methods including crosslinking-immunoprecipitation-sequencing (CLIP-seq) and ribosome profiling (Ribo-seq).	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123627	Bias-minimized quantification of microRNA reveals widespread alternative processing and 3' end modification.	Nucleic acids research	11.147	https://doi.org/10.1093/nar/gky1293	{Nucleic acids research (11.147): 10.1093/nar/gky1293}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA509424	https://www.ebi.ac.uk/ena/browser/view/PRJNA509424	https://www.ncbi.nlm.nih.gov/sra?term=SRP173274
GSE126383	Mus musculus	11	Other	GPL17021	Modeling ribosome dwell times and relationship with tRNA loading and codon usage in mammals (Ribosome Profiling)	2019-02-11	Protein translation depends on mRNA-specific initiation, elongation, and termination rates. While the regulation of ribosome elongation is well studied in bacteria and yeast, less is known in higher eukaryotes. Here, we combined ribosome and tRNA profiling to investigate the relations between ribosome elongation rates, (aminoacyl-) tRNA levels and codon usage in mammals. We modeled codon-specific ribosome dwell times and translation fluxes from ribosome profiling, considering pair-interactions between ribosome sites. In mouse liver, the model revealed site and codon specific dwell times, as well as codon pair-interactions clustering by amino acids. While translation fluxes varied significantly across diurnal time and feeding regimen, codon dwell times were highly stable, and conserved in human. Fasting had no effect on codon dwell times in mouse liver. Profiling of total and aminoacylated tRNAs revealed highly heterogeneous levels with specific isoacceptor patterns and a correlation with codon usage. tRNAs for isoleucine, asparagine, aspartate and arginine were lowly loaded and conserved in fasted mice. Finally, codons with low levels of charged tRNAs and high codon usage relative to tRNA abundance exhibited long dwell times. Together, these analyses pave the way towards understanding the complex relation between tRNA loading, codon usage and ribosome dwell times in mammals.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126383	Robust landscapes of ribosome dwell times and aminoacyl-tRNAs in response to nutrient stress in liver.	Proceedings of the National Academy of Sciences of the United States of America	9.58	https://doi.org/10.1073/pnas.1918145117	{Proceedings of the National Academy of Sciences of the United States of America (9.580): 10.1073/pnas.1918145117}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA521742	https://www.ebi.ac.uk/ena/browser/view/PRJNA521742	https://www.ncbi.nlm.nih.gov/sra?term=SRP185485
GSE49197	Drosophila melanogaster	12	Expression profiling by high throughput sequencing; Other	GPL13304	Ribosome profiling reveals pervasive and regulated stop codon readthrough  in Drosophila melanogaster	2013-07-25	Ribosomes can read through stop codons in a regulated manner, elongating rather than terminating the nascent peptide. Stop codon readthrough is essential to diverse viruses, and phylogenetically predicted to occur in a few hundred genes in Drosophila melanogaster, but the importance of regulated readthrough in eukaryotes remains largely unexplored. Here, we present a ribosome profiling assay (deep sequencing of ribosome-protected mRNA fragments) for Drosophila melanogaster, and provide the first genome-wide experimental analysis of readthrough. Readthrough is far more pervasive than expected: the vast majority of readthrough events evolved within D. melanogaster and were not predicted phylogenetically. The resulting C-terminal protein extensions show evidence of selection, contain functional subcellular localization signals, and their readthrough is regulated, arguing for their importance. We further demonstrate that readthrough occurs in yeast and humans. Readthrough thus provides general mechanisms both to regulate gene expression and function, and to add plasticity to the proteome during evolution.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49197	Ribosome profiling reveals pervasive and regulated stop codon readthrough in Drosophila melanogaster.	eLife	7.551	https://doi.org/10.7554/eLife.01179	{eLife (7.551): 10.7554/eLife.01179}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA213294	https://www.ebi.ac.uk/ena/browser/view/PRJNA213294	https://www.ncbi.nlm.nih.gov/sra?term=SRP028243
GSE129701	Homo sapiens	22	Expression profiling by high throughput sequencing; Other	GPL16791	Super-enhancer redistribution as a mechanism of broad gene dysregulation in repeatedly drug-treated cancer cells [dataset 2]	2019-04-12	We provide a series of chromatin and transcriptomic profiles to establish the short-term and long-term effects of cisplatin treatment in ovarian cancer A2780 cells.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129701	Super-Enhancer Redistribution as a Mechanism of Broad Gene Dysregulation in Repeatedly Drug-Treated Cancer Cells.	Cell reports	7.815	https://doi.org/10.1016/j.celrep.2020.107532	{Cell reports (7.815): 10.1016/j.celrep.2020.107532}	'polyA RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA532532	https://www.ebi.ac.uk/ena/browser/view/PRJNA532532	https://www.ncbi.nlm.nih.gov/sra?term=SRP192310
GSE115142	Homo sapiens	14	Expression profiling by high throughput sequencing	GPL11154	A widespread alternate form of cap-dependent mRNA translation initiation	2018-05-31	We report the application of polysome profiling sequencing technology for high-throughput transcriptomics and translatomics in mammalian cells. We compare reduction of Dap5 to control in metastatic breast cancer cells in transcription and polysome enriched translation using RNA sequencing. Genome-wide transcriptomic and translatomic analyses indicate that DAP5 is required for translation of many transcription factor and receptor capped mRNAs and their mRNA targets involved in cell survival, motility, DNA repair and translation initiation, among other mRNAs.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115142	A widespread alternate form of cap-dependent mRNA translation initiation.	Nature communications	11.878	https://doi.org/10.1038/s41467-018-05539-0	{Nature communications (11.878): 10.1038/s41467-018-05539-0}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA473917	https://www.ebi.ac.uk/ena/browser/view/PRJNA473917	https://www.ncbi.nlm.nih.gov/sra?term=SRP149421
GSE144140	Homo sapiens	9	Expression profiling by high throughput sequencing	GPL24676	Use of NanoLuc-Based Reporters that Monitor Nonsense Suppression and Inhibition of Nonsense-Mediated mRNA Decay to Identify Potent New Agents That Partially Reverse the Effects of Nonsense Mutations	2020-01-23	Premature termination codons (PTCs) lead to loss of protein function by 1) ending mRNA translation before a full-length protein is made, and 2) by triggering nonsense-mediated mRNA decay (NMD), a pathway that targets a PTC-containing mRNA for degradation. Nonsense suppression therapy aims to restore protein function by suppressing termination at PTCs (called readthrough, or RT). However, the efficiency of current readthrough agents is generally quite low. We reasoned that by stimulating both readthrough and increasing mRNA levels, greater protein function can be restored than with readthrough alone. In this study, we developed a series of novel NanoLuc reporters designed to identify and differentiate compounds that induce readthrough, enhance mRNA abundance (by NMD inhibition or other mechanisms), or target both mechanisms simultaneously (referred to as dual RT/NMD reporters). We show that treatments that promote readthrough and NMD inhibition led to synergistic increases in NanoLuc activity of the RT/NMD reporter over either condition alone. We then used a dual RT/NMD reporter to carry out a high throughput screen of a library of 771,345 compounds. We identified 180 compounds with the ability to increase NanoLuc activity in our dual RT/NMD reporter assay. To confirm that such synergy can also amplify protein function in a disease model, we treated cells expressing a CFTR-Y122X mini-intron construct with one hit from this screen, SRI-37240. We found that this compound produced a much larger increase in CFTR activity compared to either the RT compound G418 +/- the NMD inhibitor amlexanox, and the activity obtained could be further enhanced with CFTR modulators. These results confirm the utility of these new reporters to identify many potent new molecules that counteract the effects of nonsense mutations.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144140	None	None	None	None	None	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA602876	https://www.ebi.ac.uk/ena/browser/view/PRJNA602876	https://www.ncbi.nlm.nih.gov/sra?term=SRP244347
GSE94827	Homo sapiens	10	Expression profiling by high throughput sequencing	GPL16791	Inhibiting the oncogenic translation program is an effective therapeutic strategy in multiple myeloma	2017-02-13	Multiple Myeloma (MM) is a frequently incurable hematological cancer in which over activity of MYC plays a central role, notably through upregulation of ribosome biogenesis and translation. To better understand the oncogenic program driven by MYC and investigate its potential as a therapeutic target, we screened a chemically diverse small molecule library for anti-MM activity. The most potent hits identified were rocaglate-scaffold inhibitors of translation initiation. Expression profiling of MM cells revealed reversion of the oncogenic MYC-driven transcriptional program by CMLD010509, our most promising rocaglate. Proteome-wide, reversion correlated with selective depletion of short-lived proteins key to MM growth and survival, most notably MYC, MDM2, CCND1, MAF and MCL-1. The efficacy of CMLD010509 in mouse models of MM confirmed the therapeutic relevance of these findings in vivo and supports the feasibility of targeting the oncogenic MYC-driven translation program in MM with rocaglates.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94827	Inhibiting the oncogenic translation program is an effective therapeutic strategy in multiple myeloma.	Science translational medicine	17.161	https://doi.org/10.1126/scitranslmed.aal2668	{Science translational medicine (17.161): 10.1126/scitranslmed.aal2668}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA374537	https://www.ebi.ac.uk/ena/browser/view/PRJNA374537	https://www.ncbi.nlm.nih.gov/sra?term=SRP099436
GSE126385	Homo sapiens	12	Expression profiling by high throughput sequencing; Other	GPL18573	Divergent effects of eRF3 and Upf1 on the expression of uORF carrying mRNAs and ribosome protein genes	2019-02-11	In addition to its role in translation termination, eRF3 has been implicated in the nonsense-mediated mRNA decay (NMD) pathway through its interaction with Upf1. NMD is a RNA quality control mechanism, which detects and degrades aberrant mRNAs as well as some normal transcripts including those that harbor upstream open reading frames in their 5' leader sequence and long 3′ UTR. In this study, we used RNA-sequencing and ribosome profiling to perform a genome wide analysis of the effect of either eRF3 or Upf1 depletion in human cells. Our bioinformatics analyses allow to delineate the features of the transcripts controlled by eRF3 and Upf1 and to compare the effect of each of these factors on gene expression. We show that eRF3 and Upf1 have very different impact on the human transcriptome, only ~250 transcripts being targeted by both factors. We also show that in contrast to Upf1, eRF3a depletion globally derepressed the expression of mRNAs containing translated uORFs. Finally, we find that eRF3a and Upf1 have opposite effects on ribosome protein gene expression. Together, our results provide important elements for understanding the impact of translation termination and NMD on the human transcriptome and reveal novel determinants of ribosome biogenesis regulation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126385	Divergent effects of translation termination factor eRF3A and nonsense-mediated mRNA decay factor UPF1 on the expression of uORF carrying mRNAs and ribosome protein genes.	RNA biology	5.477	https://doi.org/10.1080/15476286.2019.1674595	{RNA biology (5.477): 10.1080/15476286.2019.1674595}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA521751	https://www.ebi.ac.uk/ena/browser/view/PRJNA521751	https://www.ncbi.nlm.nih.gov/sra?term=SRP185496
GSE111460	Homo sapiens	14	Genome binding/occupancy profiling by high throughput sequencing	GPL16791	SLAM-seq defines direct gene-regulatory functions of the BRD4-MYC axis [ChIP-Seq]	2018-03-06	Defining direct targets of transcription factors and regulatory pathways is key to understanding their role in physiology and disease. Here we combine SLAM-seq, a novel method for direct quantification of newly synthesized mRNAs, with pharmacological and rapid chemical-genetic perturbation to interrogate primary transcriptional targets of BRD4 and MYC and define the response to BET bromodomain inhibitors (BETi). While BRD4 acts as a global co-activator of Pol2-dependent transcription in a BET bromodomain-dependent manner, therapeutic BETi doses deregulate a small set of hypersensitive target genes. In contrast to BRD4, MYC primarily acts as a selective transcriptional activator that controls basic metabolic processes such as ribosome biogenesis and de-novo purine synthesis across diverse cancer contexts. Beyond defining primary regulatory functions of BRD4 and MYC in cancer, our study establishes a simple, robust and scalable approach to dissect direct transcriptional targets of any gene or pathway.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111460	None	None	None	None	None	'genomic DNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA437112	https://www.ebi.ac.uk/ena/browser/view/PRJNA437112	https://www.ncbi.nlm.nih.gov/sra?term=SRP134016
GSE104033	Homo sapiens	11	Expression profiling by high throughput sequencing; Other	GPL15456	The dual methyltransferase METTL13 targets N-terminus and Lys55 of eEF1A and regulates codon-specific translation rates	2017-09-20	Eukaryotic elongation factor 1 alpha (eEF1A) delivers aminoacyl-tRNA to the ribosome and thereby plays a key role in protein synthesis. Human eEF1A is post-translationally methylated on several lysine residues as well as on the N-terminus and until recently the responsible methyltransferases were largely elusive. Using mass spectrometry based screens, gene targeted cells and in vitro enzymology we identify the human methyltransferase like proteins 13 (METTL13), which contains two distinct methyltransferase domains, as an enzyme catalyzing both dimethylation of Lys55 and trimethylation of the N-terminus of eEF1A. Moreover, through ribosome profiling we demonstrate that loss of METTL13 function alters translation dynamics and results in changed translation rate of specific codons. In line with the established descriptive nomenclature for this type of enzymes we suggest that METTL13 is redubbed eEF1A dual methyltransferase (eEF1A-DMT / EEF1ADMT).	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104033	The dual methyltransferase METTL13 targets N terminus and Lys55 of eEF1A and modulates codon-specific translation rates.	Nature communications	11.878	https://doi.org/10.1038/s41467-018-05646-y	{Nature communications (11.878): 10.1038/s41467-018-05646-y}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA408071	https://www.ebi.ac.uk/ena/browser/view/PRJNA408071	https://www.ncbi.nlm.nih.gov/sra?term=SRP118278
GSE130898	Homo sapiens; Mus musculus	60	Expression profiling by high throughput sequencing; Other	GPL16791; GPL17021	The RNA hairpin binder TRIM71 modulates alternative splicing by repressing Mbnl1 [RNA-seq & Ribo-seq]	2019-05-08	We demonstrate that global effects of TRIM71 on the cellular transcriptome of mouse embryonic stem cells (mESCs) are largely attributable to its RNA binding activity. We observe that target repression by TRIM71 in mESCs occurs predominantly through transcript degradation. We identify a core set of targets consistently regulated by TRIM71 in different human and mouse cell lines.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130898	The RNA hairpin binder TRIM71 modulates alternative splicing by repressing MBNL1.	Genes & development	8.99	https://doi.org/10.1101/gad.328492.119	{Genes & development (8.990): 10.1101/gad.328492.119}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA541924	https://www.ebi.ac.uk/ena/browser/view/PRJNA541924	https://www.ncbi.nlm.nih.gov/sra?term=SRP197096
GSE92598	Homo sapiens	35	Expression profiling by array	GPL17586	mTORC1 and -2 Coordinate Transcriptional and Translational Reprogramming in Resistance to DNA Damage and Replicative Stress in Breast Cancer Cells	2016-12-19	mTOR coordinates growth signals with metabolic pathways and protein synthesis and is hyperactivated in many human cancers. We have characterized the coordinated mTORC1 and -2 transcription and translation response using genome-wide translatome and transcriptome profiling on cells inhibited in mTORC1/2 with PP242 or only mTORC1 with RAD001, with or without concurrent IR. In this dataset, we include the expression data obtained from SUM149 cells treated with RAD001 + IR, RAD001, PP242+IR, PP242, IR, DMSO. We include both total (transcriptional) data as well as polysome arrays. These data are used to obtain differentially expressed genes in all treatments compared to DMSO in both polysome and transcriptional data.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92598	mTORC1 and -2 Coordinate Transcriptional and Translational Reprogramming in Resistance to DNA Damage and Replicative Stress in Breast Cancer Cells.	Molecular and cellular biology	3.735	https://doi.org/10.1128/MCB.00577-16	{Molecular and cellular biology (3.735): 10.1128/MCB.00577-16}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA358095	https://www.ebi.ac.uk/ena/browser/view/PRJNA358095	None
GSE106899	Homo sapiens	66	Expression profiling by high throughput sequencing	GPL11154	Multi-Omic Molecular Profiling of Lung Cancer Risk in Chronic Obstructive Pulmonary Disease	2017-11-15	Chronic obstructive pulmonary disease (COPD) is a known risk factor for developing lung cancer suggesting that the COPD stroma contains factors supporting tumorigenesis. Since cancer initiation is complex we used a multi-omic approach to identify gene expression patterns that distinguish COPD stroma in patients with or without lung cancer. We obtained lung tissue from patients with COPD and lung cancer (tumor and adjacent non-malignant tissue) and those with COPD without lung cancer for proteomic and mRNA (cytoplasmic and polyribosomal) profiling. We used the joint and individual variation explained (JIVE) method to integrate and analysis across the three datasets. JIVE identified eight latent patterns that robustly distinguished and separated the three groups of tissue samples. Predictive variables that associated with the tumor, compared to adjacent stroma, were mainly represented in the transcriptomic data, whereas, predictive variables associated with adjacent tissue compared to controls was represented at the translatomic level. Kyoto Encyclopedia of Genes and Genome (KEGG) pathway analysis revealed extracellular matrix (ECM) and PI3K-Akt signaling pathways as important signals in the pre-malignant stroma. COPD stroma adjacent to lung cancer is unique and differs from non-malignant COPD tissue and is distinguished by the extracellular matrix and PI3K-Akt signaling pathways.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106899	Multi-omic molecular profiling of lung cancer in COPD.	The European respiratory journal	11.807	https://doi.org/10.1183/13993003.02665-2017	{The European respiratory journal (11.807): 10.1183/13993003.02665-2017}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA418402	https://www.ebi.ac.uk/ena/browser/view/PRJNA418402	https://www.ncbi.nlm.nih.gov/sra?term=SRP125001
GSE112230	Homo sapiens; Mus musculus	29	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	GPL16791; GPL17021; GPL19057	LSD1 ablation stimulates anti-tumor immunity and enables checkpoint blockade	2018-03-22	Chromatin regulators play a broad role in regulating gene expression, and when gone awry, can lead to cancer. Here we demonstrate that ablation of the histone demethylase LSD1 in cancer cells increases repetitive element expression, including ERVs, and decreases expression of RNA-induced silencing complex (RISC) components. Significantly, this leads to dsRNA stress and activation of type 1 interferon, which stimulates anti-tumor T cell immunity and restrains tumor growth. Furthermore, LSD1 depletion enhances tumor immunogenicity and T cell infiltration in poorly immunogenic tumors, and elicits significant responses of checkpoint blockade-refractory mouse melanoma to anti-PD-1 therapy. Consistently, TCGA data analysis shows an inverse correlation between LSD1 expression and CD8+ T cell infiltration in various human cancers. Our study identifies LSD1 as a potent inhibitor of anti-tumor immunity and responsiveness to immunotherapy, and suggests LSD1 inhibition combined with PD-(L)1 blockade as a novel cancer treatment strategy.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112230	LSD1 Ablation Stimulates Anti-tumor Immunity and Enables Checkpoint Blockade.	Cell	36.216	https://doi.org/10.1016/j.cell.2018.05.052	{Cell (36.216): 10.1016/j.cell.2018.05.052}	'genomic DNA', 'total RNA', 'polyA RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA445303	https://www.ebi.ac.uk/ena/browser/view/PRJNA445303	https://www.ncbi.nlm.nih.gov/sra?term=SRP136272
GSE111457	Homo sapiens	19	Expression profiling by high throughput sequencing	GPL16791	SLAM-seq defines direct gene-regulatory functions of the BRD4-MYC axis [Quant-Seq]	2018-03-06	Defining direct targets of transcription factors and regulatory pathways is key to understanding their role in physiology and disease. Here we combine SLAM-seq, a novel method for direct quantification of newly synthesized mRNAs, with pharmacological and rapid chemical-genetic perturbation to interrogate primary transcriptional targets of BRD4 and MYC and define the response to BET bromodomain inhibitors (BETi). While BRD4 acts as a global co-activator of Pol2-dependent transcription in a BET bromodomain-dependent manner, therapeutic BETi doses deregulate a small set of hypersensitive target genes. In contrast to BRD4, MYC primarily acts as a selective transcriptional activator that controls basic metabolic processes such as ribosome biogenesis and de-novo purine synthesis across diverse cancer contexts. Beyond defining primary regulatory functions of BRD4 and MYC in cancer, our study establishes a simple, robust and scalable approach to dissect direct transcriptional targets of any gene or pathway.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111457	None	None	None	None	None	'polyA RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA437106	https://www.ebi.ac.uk/ena/browser/view/PRJNA437106	https://www.ncbi.nlm.nih.gov/sra?term=SRP134014
